participant,session,trial_number_overall,image_name,fixation_duration,eccentricity_fix,eccentricity_obj,sacc_amp,ROI_size
501,2,110,1444.jpg,460,155.248993555514,154.3315306698,0.9893429265888,1834
501,2,110,1444.jpg,1309,158.468451118827,154.3315306698,1.28752273164848,1834
501,2,102,1448.jpg,719,110.051124483124,51.3725688410362,1.47632478235129,40889
501,2,102,1448.jpg,683,72.022565908193,51.3725688410362,0.685508594232582,40889
501,2,129,1450.jpg,707,104.313230225125,81.3931325324327,2.22469122293199,1161
501,2,56,1454.jpg,672,70.910154420929,NaN,2.06288611204536,136465
501,2,56,1454.jpg,1399,97.9093968932502,NaN,3.41615290876014,136465
501,2,112,1461.jpg,1001,116.345390970163,NaN,2.62103338529583,96860
501,2,112,1461.jpg,596,154.007305021548,159.239516494087,1.59033294114501,1196
501,2,112,1461.jpg,397,104.948797039318,143.562464793969,4.86359837719504,1791
501,2,112,1461.jpg,1369,179.198911827053,143.562464793969,1.22597069049934,1791
501,2,120,1482.jpg,1275,70.4361412912434,NaN,NaN,117768
501,2,83,1524.jpg,854,112.5,88.2113404668692,1.07168666343594,33091
501,2,83,1524.jpg,787,136.88772771874,88.2113404668692,0.569871269266517,33091
501,2,83,1524.jpg,500,96.9239392513532,88.2113404668692,1.7444640394849,33091
501,2,55,1527.jpg,621,81.7327963549517,94.2899652571476,1.32276669992879,5894
501,2,55,1527.jpg,1888,102.011028815516,94.2899652571476,0.915003046378943,5894
501,2,151,1531.jpg,1786,71.6118007035153,114.766438368972,0.883270854666132,1179
501,2,158,1534.jpg,806,75.5066222261332,79.0150311877562,1.09099309234926,46920
501,2,158,1534.jpg,2517,81.891696770796,109.648134829975,2.38981968629198,1812
501,2,111,1551.jpg,421,77.4935481185369,NaN,1.31674003687457,135476
501,2,111,1551.jpg,1308,144.773098329766,140.064161682263,1.8515053374825,14
501,2,147,1558.jpg,527,83.721263726726,NaN,2.17740024773266,126202
501,2,147,1558.jpg,1049,112.41997153531,125.376913379116,1.46378576570426,405
501,2,147,1558.jpg,899,99.9162149002853,116.537684956371,3.59175153030512,474
501,2,61,1572.jpg,1625,110.327920310319,79.9168373747526,2.60338218581506,5525
501,2,61,1572.jpg,968,203.669462610378,192.586553652026,2.09187634126874,2107
501,2,63,1573.jpg,1121,116.70154240626,112.392124456464,1.91249244929146,2566
501,2,63,1573.jpg,731,93.1517579007503,NaN,2.45785061202758,80302
501,2,63,1573.jpg,568,148.849756466042,112.392124456464,3.08107718752093,2566
501,2,63,1573.jpg,912,150.044160166266,146.665960233848,2.13493579364279,8217
501,2,101,1581.jpg,685,75.3010624095039,103.408032886693,1.22594419628047,6105
501,2,144,1583.jpg,2363,97.5563939472959,117.981951852206,1.68205219703168,4854
501,2,15,1614.jpg,842,93.473258207896,NaN,1.89310363001063,76441
501,2,119,1615.jpg,413,75.2080447824566,112.62026412039,1.41185457240416,5325
501,2,119,1615.jpg,1776,88.5508328588727,124.255622579686,1.40802227756904,10535
501,2,135,1618.jpg,340,202.413561798611,NaN,NaN,99801
501,2,135,1618.jpg,276,132.046393362333,NaN,2.08193452845811,99801
501,2,29,1629.jpg,3144,150.353749537549,108.91529747367,1.55058553375193,4135
501,2,12,1639.jpg,2656,77.6418057492225,50.2815173223474,1.07821931699155,763
501,2,139,1649.jpg,1138,77.9118091177454,111.476509415356,1.44775297039369,2010
501,2,139,1649.jpg,860,83.6435891147672,111.476509415356,0.73462027054048,2010
501,2,41,1661.jpg,583,70.5779710674655,132.361937140546,1.09464583326536,9062
